X,Y
92.868,42.634
105.171,42.215
119.071,42.307
132.87,42.398
146.67,42.488
160.57,42.58
173.866,43.168
174.266,58.371
174.158,74.73
184.432,77.083
194.887,78.057
208.686,78.148
222.587,78.148
236.386,78.33
250.186,78.421
264.085,78.513
281.589,93.248
236.31,89.83
281.492,107.828
292.092,107.898
302.692,107.968
313.292,108.038
323.892,108.108
334.491,108.177
345.091,108.247
345.001,121.847
334.402,121.777
323.802,121.719
313.202,121.637
302.602,121.568
292.003,121.498
281.403,121.428
281.311,135.338
281.232,147.349
281.163,157.827
291.763,157.827
302.363,157.967
312.962,158.037
323.562,158.106
334.162,158.176
344.762,158.246
344.672,171.846
334.072,171.776
323.473,171.706
312.873,171.636
302.267,171.6
291.673,171.566
281.073,171.427
281.005,181.747
279.137,192.114
280.869,202.506
280.801,212.826
291.4,212.896
302.0,212.966
312.6,213.035
323.2,213.105
333.8,213.175
344.399,213.245
344.31,226.845
333.71,226.775
323.11,226.705
312.51,226.635
301.911,226.565
291.311,226.495
280.711,226.426
280.642,236.915
280.563,248.915
280.563,262.825
291.071,262.895
301.671,262.964
312.271,263.046
322.87,263.104
333.47,263.174
344.07,263.244
344.07,276.844
333.38,276.774
322.781,276.704
312.181,276.634
301.581,276.564
290.981,276.494
280.382,276.425
280.286,291.004
262.59,305.508
248.69,305.508
234.89,305.325
234.966,293.826
221.091,305.223
207.191,305.143
193.391,305.052
182.924,305.888
172.621,308.105
172.513,324.465
162.268,302.037
151.95,295.989
131.121,307.832
171.913,339.661
158.61,340.074
144.71,339.982
130.91,339.891
117.111,339.8
103.211,339.697
90.914,339.128
88.553,318.092
83.131,308.556
110.451,295.715
66.123,307.443
64.39,297.212
52.869,300.421
29.88,306.186
30.003,287.475
50.45,288.015
64.476,284.108
64.552,272.662
66.431,260.695
44.727,253.571
30.247,250.476
78.18,260.772
90.675,260.854
100.256,265.687
110.609,271.756
121.04,265.824
131.437,259.913
141.79,265.981
152.108,272.029
88.535,245.317
83.623,236.677
66.596,235.565
54.57,239.497
49.848,227.679
30.379,230.476
64.905,219.024
64.998,204.874
110.924,223.837
83.441,190.825
97.341,190.917
111.141,191.008
111.065,202.507
111.217,179.508
65.185,176.534
65.278,162.384
111.357,158.178
84.227,144.979
67.187,145.867
55.214,141.776
50.325,153.532
30.918,150.478
129.795,147.695
89.253,136.405
91.597,120.897
79.103,120.815
67.353,120.738
45.546,127.574
31.038,130.478
65.632,108.746
111.673,110.259
122.025,116.328
132.343,122.376
142.775,116.444
153.172,110.533
111.831,86.3
65.707,97.3
51.734,93.209
31.283,93.209
54.315,80.835
65.793,84.197
67.661,73.989
31.405,74.78
84.682,73.101
90.229,63.637
132.659,74.457
153.33,86.573
101.241,116.191
163.524,116.601
173.842,122.649
184.239,116.738
194.671,110.806
204.989,116.854
215.342,122.923
236.17,111.06
256.762,135.176
267.112,135.244
256.683,147.156
246.203,153.001
235.854,158.999
225.536,152.95
215.184,146.882
215.263,134.882
173.763,134.649
173.685,146.609
194.355,158.725
163.253,152.54
152.856,158.452
263.337,192.01
249.438,191.919
235.638,191.828
221.838,191.737
207.938,191.737
194.138,191.645
180.339,191.464
166.44,191.281
152.64,191.281
138.84,191.19
124.94,191.098
194.063,203.054
193.934,224.384
152.424,224.11
129.223,234.563
162.742,230.158
173.094,236.238
173.015,248.186
214.593,236.5
225.025,230.58
235.422,224.657
245.678,230.791
256.092,236.774
256.013,248.753
266.363,248.833
214.514,248.5
214.435,260.46
235.106,272.596
204.004,266.391
193.607,272.303
183.254,266.234
172.936,260.186
162.539,266.098
194.215,180.055
163.727,80.662
